rank,trend,mentions,category
1,x200b,1008,N/A
2,note,289,N/A
3,repeat,244,N/A
4,here,45,N/A
5,whatconstitutesspam,16,N/A
6,metoo,14,N/A
7,general,10,N/A
8,ref,10,N/A
9,relevancy,9,N/A
10,title,6,N/A
11,discussion,5,N/A
